location,timestamp,pm25,temperature,humidity,pm25_scaled,temperature_scaled,humidity_scaled,date,hour,pm25_roll_avg_3,temperature_roll_avg_3,pm25_lag_1,temperature_lag_1,pm25_rate_of_change,temperature_rate_of_change
NewDelhi-8118,2024-12-31 19:30:00+00:00,371.0,60.0,100.0,3.4107048517356016,4.938702861153437,2.586485855311457,2024-12-31,19,371.0,60.0,,,,
NewDelhi-8118,2024-12-31 20:30:00+00:00,343.0,60.0,100.0,3.0367840275541558,4.938702861153437,2.586485855311457,2024-12-31,20,357.0,60.0,371.0,60.0,-28.0,0.0
NewDelhi-8118,2024-12-31 21:30:00+00:00,286.0,60.0,100.0,2.275588064041927,4.938702861153437,2.586485855311457,2024-12-31,21,333.3333333333333,60.0,343.0,60.0,-57.0,0.0
NewDelhi-8118,2024-12-31 22:30:00+00:00,204.0,13.0,48.0,1.1805342217962644,-0.9285823582297712,-0.8260070271795803,2024-12-31,22,277.6666666666667,44.333333333333336,286.0,60.0,-82.0,-47.0
NewDelhi-8118,2024-12-31 23:30:00+00:00,187.0,13.0,48.0,0.9535108642575296,-0.9285823582297712,-0.8260070271795803,2024-12-31,23,225.66666666666666,28.666666666666668,204.0,13.0,-17.0,0.0
NewDelhi-8118,2025-01-01 00:00:00+00:00,189.0,13.0,48.0,0.9802194945562043,-0.9285823582297712,-0.8260070271795803,2025-01-01,0,193.33333333333334,13.0,187.0,13.0,2.0,0.0
NewDelhi-8118,2025-01-01 00:30:00+00:00,189.0,13.0,83.6,0.9802194945562043,-0.9285823582297712,1.5102381000642833,2025-01-01,0,188.33333333333334,13.0,189.0,13.0,0.0,0.0
NewDelhi-8118,2025-01-01 01:00:00+00:00,189.0,6.7,83.6,0.9802194945562043,-1.7150482493385844,1.5102381000642833,2025-01-01,1,189.0,10.9,189.0,13.0,0.0,-6.3
NewDelhi-8118,2025-01-01 02:00:00+00:00,189.0,26.0,85.2,0.9802194945562043,0.6942837662804778,1.615237881064008,2025-01-01,2,189.0,15.233333333333334,189.0,6.7,0.0,19.3
NewDelhi-8118,2025-01-01 02:30:00+00:00,,60.0,83.6,,4.938702861153437,1.5102381000642833,2025-01-01,2,189.0,30.900000000000002,189.0,26.0,,34.0
NewDelhi-8118,2025-01-01 03:00:00+00:00,,19.7,52.2,,-0.09218212482833528,-0.5503826020553041,2025-01-01,3,189.0,35.233333333333334,,60.0,,-40.3
NewDelhi-8118,2025-01-01 03:30:00+00:00,,60.0,58.15,,4.938702861153437,-0.15991466646257987,2025-01-01,3,,46.56666666666666,,19.7,,40.3
NewDelhi-8118,2025-01-01 04:00:00+00:00,,34.3,64.1,,1.7304213688524057,0.23055326913014432,2025-01-01,4,,38.0,,60.0,,-25.700000000000003
NewDelhi-8118,2025-01-01 04:30:00+00:00,,60.0,61.699999999999996,,4.938702861153437,0.07305359763055808,2025-01-01,4,,51.43333333333334,,34.3,,25.700000000000003
NewDelhi-8118,2025-01-01 05:00:00+00:00,,15.2,59.3,,-0.6539434756203446,-0.08444607386902818,2025-01-01,5,,36.5,,60.0,,-44.8
NewDelhi-8118,2025-01-01 05:30:00+00:00,188.0,60.0,59.4,0.9668651794068669,4.938702861153437,-0.07788358755654531,2025-01-01,5,188.0,45.06666666666666,,15.2,,44.8
NewDelhi-8118,2025-01-01 06:00:00+00:00,188.0,17.4,59.5,0.9668651794068669,-0.3793045930109179,-0.07132110124406246,2025-01-01,6,188.0,30.866666666666664,188.0,60.0,0.0,-42.6
NewDelhi-8118,2025-01-01 06:30:00+00:00,188.0,17.4,68.9,0.9668651794068669,-0.3793045930109179,0.5455526121293177,2025-01-01,6,188.0,31.599999999999998,188.0,17.4,0.0,0.0
