datetime,location,lat,lon,pm25
2025-01-14T04:30:00.000Z,US Diplomatic Post: New Delhi-8118,28.63576,77.22445,139.0
2025-04-04T14:30:00.000Z,New Delhi-8118,28.63576,77.22445,44.0
2025-04-21T16:30:00.000Z,New Delhi-8118,28.63576,77.22445,66.0
2025-03-06T22:30:00.000Z,New Delhi-8118,28.63576,77.22445,99.0
2025-02-05T19:30:00.000Z,US Diplomatic Post: New Delhi-8118,28.63576,77.22445,131.0
2025-02-03T02:30:00.000Z,US Diplomatic Post: New Delhi-8118,28.63576,77.22445,125.0
2025-02-20T00:30:00.000Z,US Diplomatic Post: New Delhi-8118,28.63576,77.22445,40.0
2025-02-20T17:30:00.000Z,US Diplomatic Post: New Delhi-8118,28.63576,77.22445,82.0
2025-04-23T15:30:00.000Z,New Delhi-8118,28.63576,77.22445,67.0
2025-01-15T17:30:00.000Z,US Diplomatic Post: New Delhi-8118,28.63576,77.22445,185.0
2025-03-24T04:30:00.000Z,New Delhi-8118,28.63576,77.22445,87.0
2025-03-17T19:30:00.000Z,New Delhi-8118,28.63576,77.22445,56.0
2025-03-04T21:30:00.000Z,New Delhi-8118,28.63576,77.22445,35.0
2025-04-09T06:30:00.000Z,New Delhi-8118,28.63576,77.22445,102.0
2025-03-27T11:30:00.000Z,New Delhi-8118,28.63576,77.22445,27.0
2025-03-13T12:30:00.000Z,New Delhi-8118,28.63576,77.22445,49.0
2025-02-12T00:30:00.000Z,US Diplomatic Post: New Delhi-8118,28.63576,77.22445,123.0
2025-03-12T15:30:00.000Z,New Delhi-8118,28.63576,77.22445,66.0
2025-03-13T15:30:00.000Z,New Delhi-8118,28.63576,77.22445,60.0
2025-04-14T03:30:00.000Z,New Delhi-8118,28.63576,77.22445,99.0
2025-03-14T13:30:00.000Z,New Delhi-8118,28.63576,77.22445,42.0
2025-02-19T07:30:00.000Z,US Diplomatic Post: New Delhi-8118,28.63576,77.22445,57.0
2025-03-25T00:30:00.000Z,New Delhi-8118,28.63576,77.22445,132.0
2025-01-05T13:30:00.000Z,New Delhi-8118,28.63576,77.22445,-999.0
2025-03-28T01:30:00.000Z,New Delhi-8118,28.63576,77.22445,53.0
2025-01-09T05:30:00.000Z,US Diplomatic Post: New Delhi-8118,28.63576,77.22445,161.0
2025-03-16T19:30:00.000Z,New Delhi-8118,28.63576,77.22445,41.0
2025-04-12T15:30:00.000Z,New Delhi-8118,28.63576,77.22445,56.0
2025-01-20T13:30:00.000Z,US Diplomatic Post: New Delhi-8118,28.63576,77.22445,154.0
2025-01-26T00:30:00.000Z,US Diplomatic Post: New Delhi-8118,28.63576,77.22445,91.0
2025-04-06T20:30:00.000Z,New Delhi-8118,28.63576,77.22445,86.0
2025-02-11T22:30:00.000Z,US Diplomatic Post: New Delhi-8118,28.63576,77.22445,186.0
2025-04-20T07:30:00.000Z,New Delhi-8118,28.63576,77.22445,73.0
2025-02-08T09:30:00.000Z,US Diplomatic Post: New Delhi-8118,28.63576,77.22445,34.0
2025-04-11T16:30:00.000Z,New Delhi-8118,28.63576,77.22445,13.0
2025-02-12T05:30:00.000Z,US Diplomatic Post: New Delhi-8118,28.63576,77.22445,66.0
2025-02-16T06:30:00.000Z,US Diplomatic Post: New Delhi-8118,28.63576,77.22445,90.0
2025-01-01T22:30:00.000Z,New Delhi-8118,28.63576,77.22445,173.0
2025-04-03T17:30:00.000Z,New Delhi-8118,28.63576,77.22445,57.0
2025-02-07T02:30:00.000Z,US Diplomatic Post: New Delhi-8118,28.63576,77.22445,83.0
2025-04-20T18:30:00.000Z,New Delhi-8118,28.63576,77.22445,80.0
2025-03-29T09:30:00.000Z,New Delhi-8118,28.63576,77.22445,25.0
2025-02-12T20:30:00.000Z,US Diplomatic Post: New Delhi-8118,28.63576,77.22445,66.0
2025-03-20T11:30:00.000Z,New Delhi-8118,28.63576,77.22445,16.0
2025-01-29T08:30:00.000Z,US Diplomatic Post: New Delhi-8118,28.63576,77.22445,155.0
2025-03-22T10:30:00.000Z,New Delhi-8118,28.63576,77.22445,25.0
2025-01-13T23:30:00.000Z,US Diplomatic Post: New Delhi-8118,28.63576,77.22445,122.0
2025-01-26T08:30:00.000Z,US Diplomatic Post: New Delhi-8118,28.63576,77.22445,56.0
2025-04-24T08:30:00.000Z,New Delhi-8118,28.63576,77.22445,48.0
2025-04-01T12:30:00.000Z,New Delhi-8118,28.63576,77.22445,23.0
2025-04-20T03:30:00.000Z,New Delhi-8118,28.63576,77.22445,46.0
2025-02-24T04:30:00.000Z,US Diplomatic Post: New Delhi-8118,28.63576,77.22445,132.0
